step,C-NR,C-SR,C-AR,C-UR,OC-NR,OC-SR,OC-AR,OC-UR,OD-NR,OD-SR,OD-AR,OD-UR,D-NR,D-SR,D-AR,D-UR
179,0,165,0,119,0,61,0,55,0,0,0,0,0,0,0,0
180,0,161,0,75,0,102,0,62,0,0,0,0,0,0,0,0
181,0,170,0,114,0,61,0,55,0,0,0,0,0,0,0,0
182,0,160,0,76,0,103,0,61,0,0,0,0,0,0,0,0
183,0,165,0,119,0,61,0,55,0,0,0,0,0,0,0,0
184,0,158,0,76,0,105,0,61,0,0,0,0,0,0,0,0
185,0,168,0,116,0,61,0,55,0,0,0,0,0,0,0,0
186,0,165,0,75,0,98,0,62,0,0,0,0,0,0,0,0
187,0,167,0,117,0,61,0,55,0,0,0,0,0,0,0,0
188,0,162,0,77,0,101,0,60,0,0,0,0,0,0,0,0
189,0,169,0,115,0,61,0,55,0,0,0,0,0,0,0,0
190,0,163,0,74,0,100,0,63,0,0,0,0,0,0,0,0
191,0,168,0,116,0,60,0,56,0,0,0,0,0,0,0,0
192,0,161,0,75,0,102,0,62,0,0,0,0,0,0,0,0
193,0,168,0,116,0,61,0,55,0,0,0,0,0,0,0,0
194,0,156,0,77,0,107,0,60,0,0,0,0,0,0,0,0
195,0,164,0,120,0,61,0,55,0,0,0,0,0,0,0,0
196,0,162,0,73,0,102,0,63,0,0,0,0,0,0,0,0
197,0,167,0,117,0,61,0,55,0,0,0,0,0,0,0,0
198,0,164,0,77,0,100,0,59,0,0,0,0,0,0,0,0
199,0,168,0,116,0,61,0,55,0,0,0,0,0,0,0,0
200,0,162,0,74,0,102,0,62,0,0,0,0,0,0,0,0
201,0,168,0,116,0,61,0,55,0,0,0,0,0,0,0,0
202,0,161,0,73,0,103,0,63,0,0,0,0,0,0,0,0
203,0,165,0,120,0,61,0,54,0,0,0,0,0,0,0,0
204,0,162,0,73,0,102,0,63,0,0,0,0,0,0,0,0
205,0,168,0,117,0,61,0,54,0,0,0,0,0,0,0,0
206,0,161,0,73,0,103,0,63,0,0,0,0,0,0,0,0
207,0,167,0,118,0,60,0,55,0,0,0,0,0,0,0,0
208,0,156,0,74,0,108,0,62,0,0,0,0,0,0,0,0
209,0,168,0,117,0,61,0,54,0,0,0,0,0,0,0,0
210,0,158,0,75,0,106,0,61,0,0,0,0,0,0,0,0
211,0,169,0,116,0,61,0,54,0,0,0,0,0,0,0,0
212,0,163,0,77,0,101,0,59,0,0,0,0,0,0,0,0
213,0,171,0,114,0,61,0,54,0,0,0,0,0,0,0,0
214,0,158,0,76,0,106,0,60,0,0,0,0,0,0,0,0
215,0,167,0,118,0,61,0,54,0,0,0,0,0,0,0,0
216,0,159,0,75,0,105,0,61,0,0,0,0,0,0,0,0
217,0,167,0,118,0,60,0,55,0,0,0,0,0,0,0,0
218,0,159,0,73,0,105,0,63,0,0,0,0,0,0,0,0
219,0,167,0,118,0,62,0,53,0,0,0,0,0,0,0,0
220,0,163,0,75,0,101,0,61,0,0,0,0,0,0,0,0
221,0,168,0,117,0,60,0,55,0,0,0,0,0,0,0,0
222,0,161,0,74,0,103,0,62,0,0,0,0,0,0,0,0
223,0,168,0,117,0,61,0,54,0,0,0,0,0,0,0,0
224,0,163,0,73,0,101,0,63,0,0,0,0,0,0,0,0
225,0,168,0,117,0,62,0,53,0,0,0,0,0,0,0,0
226,0,162,0,74,0,102,0,62,0,0,0,0,0,0,0,0
227,0,171,0,114,0,61,0,54,0,0,0,0,0,0,0,0
228,0,160,0,72,0,104,0,64,0,0,0,0,0,0,0,0
229,0,167,0,118,0,61,0,54,0,0,0,0,0,0,0,0
230,0,160,0,74,0,104,0,62,0,0,0,0,0,0,0,0
231,0,168,0,117,0,62,0,53,0,0,0,0,0,0,0,0
232,0,159,0,73,0,105,0,63,0,0,0,0,0,0,0,0
233,0,170,0,115,0,61,0,54,0,0,0,0,0,0,0,0
234,0,159,0,74,0,105,0,62,0,0,0,0,0,0,0,0
235,0,169,0,116,0,61,0,54,0,0,0,0,0,0,0,0
236,0,160,0,75,0,104,0,61,0,0,0,0,0,0,0,0
237,0,166,0,119,0,61,0,54,0,0,0,0,0,0,0,0
238,0,160,0,73,0,104,0,63,0,0,0,0,0,0,0,0
239,0,169,0,116,0,61,0,54,0,0,0,0,0,0,0,0
240,0,161,0,74,0,103,0,62,0,0,0,0,0,0,0,0
241,0,169,0,116,0,61,0,54,0,0,0,0,0,0,0,0
242,0,159,0,74,0,105,0,62,0,0,0,0,0,0,0,0
243,0,169,0,116,0,61,0,54,0,0,0,0,0,0,0,0
244,0,160,0,73,0,104,0,63,0,0,0,0,0,0,0,0
245,0,168,0,117,0,62,0,53,0,0,0,0,0,0,0,0
246,0,162,0,77,0,102,0,59,0,0,0,0,0,0,0,0
247,0,168,0,117,0,61,0,54,0,0,0,0,0,0,0,0
248,0,163,0,74,0,101,0,62,0,0,0,0,0,0,0,0
249,0,169,0,116,0,61,0,54,0,0,0,0,0,0,0,0
250,0,159,0,77,0,105,0,59,0,0,0,0,0,0,0,0
251,0,165,0,120,0,61,0,54,0,0,0,0,0,0,0,0
252,0,161,0,75,0,103,0,61,0,0,0,0,0,0,0,0
253,0,169,0,116,0,62,0,53,0,0,0,0,0,0,0,0
254,0,158,0,75,0,106,0,61,0,0,0,0,0,0,0,0
255,0,167,0,118,0,60,0,55,0,0,0,0,0,0,0,0
256,0,160,0,73,0,104,0,63,0,0,0,0,0,0,0,0
257,0,167,0,117,0,62,0,54,0,0,0,0,0,0,0,0
258,0,158,0,73,0,106,0,63,0,0,0,0,0,0,0,0
