step,C-NR,C-SR,C-AR,C-UR,OC-NR,OC-SR,OC-AR,OC-UR,OD-NR,OD-SR,OD-AR,OD-UR,D-NR,D-SR,D-AR,D-UR
141,0,183,0,52,0,120,0,37,0,3,0,5,0,0,0,0
142,0,178,0,54,0,122,0,40,0,2,0,4,0,0,0,0
143,0,171,0,49,0,130,0,41,0,5,0,4,0,0,0,0
144,0,183,0,53,0,117,0,40,0,4,0,3,0,0,0,0
145,0,175,0,52,0,130,0,38,0,2,0,3,0,0,0,0
146,0,183,0,54,0,116,0,39,0,3,0,5,0,0,0,0
147,0,180,0,46,0,126,0,43,0,2,0,3,0,0,0,0
148,0,175,0,52,0,126,0,40,0,1,0,6,0,0,0,0
149,0,180,0,43,0,126,0,42,0,3,0,6,0,0,0,0
150,0,176,0,52,0,122,0,46,0,3,0,1,0,0,0,0
151,0,181,0,41,0,123,0,45,0,5,0,5,0,0,0,0
152,0,180,0,50,0,121,0,44,0,3,0,2,0,0,0,0
153,0,182,0,45,0,120,0,43,0,6,0,4,0,0,0,0
154,0,169,0,45,0,131,0,51,0,3,0,1,0,0,0,0
155,0,183,0,54,0,120,0,36,0,4,0,3,0,0,0,0
156,0,174,0,42,0,127,0,48,0,5,0,4,0,0,0,0
157,0,173,0,54,0,131,0,38,0,3,0,1,0,0,0,0
158,0,177,0,47,0,125,0,43,0,4,0,4,0,0,0,0
159,0,177,0,50,0,122,0,43,0,6,0,2,0,0,0,0
160,0,171,0,47,0,132,0,47,0,2,0,1,0,0,0,0
161,0,174,0,48,0,126,0,42,0,5,0,5,0,0,0,0
162,0,178,0,46,0,125,0,46,0,3,0,2,0,0,0,0
163,0,179,0,53,0,122,0,37,0,5,0,4,0,0,0,0
164,0,188,0,48,0,116,0,43,0,4,0,1,0,0,0,0
165,0,173,0,54,0,127,0,36,0,6,0,4,0,0,0,0
166,0,180,0,57,0,124,0,35,0,3,0,1,0,0,0,0
167,0,172,0,48,0,129,0,41,0,4,0,6,0,0,0,0
168,0,186,0,49,0,120,0,40,0,1,0,4,0,0,0,0
169,0,189,0,54,0,113,0,36,0,3,0,5,0,0,0,0
170,0,183,0,51,0,122,0,40,0,3,0,1,0,0,0,0
171,0,180,0,48,0,121,0,42,0,6,0,3,0,0,0,0
172,0,182,0,46,0,119,0,46,0,5,0,2,0,0,0,0
173,0,177,0,49,0,125,0,42,0,4,0,3,0,0,0,0
174,0,188,0,48,0,110,0,39,0,10,0,5,0,0,0,0
175,0,169,0,45,0,130,0,43,0,7,0,6,0,0,0,0
176,0,182,0,49,0,123,0,42,0,2,0,2,0,0,0,0
177,0,175,0,47,0,126,0,42,0,5,0,5,0,0,0,0
178,0,182,0,48,0,121,0,39,0,5,0,5,0,0,0,0
179,0,186,0,48,0,121,0,40,0,1,0,4,0,0,0,0
180,0,184,0,45,0,120,0,44,0,4,0,3,0,0,0,0
181,0,174,0,50,0,131,0,39,0,2,0,4,0,0,0,0
182,0,182,0,49,0,125,0,38,0,1,0,5,0,0,0,0
183,0,173,0,52,0,132,0,36,0,2,0,5,0,0,0,0
184,0,174,0,50,0,133,0,36,0,2,0,5,0,0,0,0
185,0,182,0,50,0,122,0,41,0,1,0,4,0,0,0,0
186,0,183,0,45,0,121,0,42,0,4,0,5,0,0,0,0
187,0,186,0,56,0,119,0,34,0,1,0,4,0,0,0,0
188,0,193,0,46,0,114,0,39,0,2,0,6,0,0,0,0
189,0,178,0,46,0,127,0,42,0,1,0,6,0,0,0,0
190,0,198,0,41,0,108,0,47,0,2,0,4,0,0,0,0
191,0,180,0,47,0,124,0,40,0,5,0,4,0,0,0,0
192,0,175,0,44,0,127,0,47,0,5,0,2,0,0,0,0
193,0,186,0,46,0,118,0,40,0,5,0,5,0,0,0,0
194,0,180,0,43,0,125,0,47,0,3,0,2,0,0,0,0
195,0,179,0,46,0,124,0,43,0,5,0,3,0,0,0,0
196,0,175,0,46,0,131,0,42,0,4,0,2,0,0,0,0
197,0,182,0,47,0,122,0,43,0,3,0,3,0,0,0,0
198,0,183,0,49,0,122,0,37,0,5,0,4,0,0,0,0
199,0,190,0,49,0,113,0,42,0,3,0,3,0,0,0,0
200,0,186,0,48,0,121,0,37,0,3,0,5,0,0,0,0
201,0,170,0,48,0,137,0,39,0,3,0,3,0,0,0,0
202,0,183,0,47,0,124,0,40,0,2,0,4,0,0,0,0
203,0,180,0,53,0,127,0,36,0,2,0,2,0,0,0,0
204,0,178,0,45,0,128,0,40,0,4,0,5,0,0,0,0
205,0,184,0,47,0,122,0,41,0,2,0,4,0,0,0,0
206,0,178,0,43,0,129,0,44,0,2,0,4,0,0,0,0
207,0,167,0,46,0,138,0,40,0,4,0,5,0,0,0,0
208,0,195,0,41,0,114,0,45,0,1,0,4,0,0,0,0
209,0,184,0,45,0,121,0,42,0,5,0,3,0,0,0,0
210,0,191,0,47,0,116,0,40,0,3,0,3,0,0,0,0
211,0,192,0,41,0,115,0,46,0,2,0,4,0,0,0,0
212,0,180,0,44,0,129,0,41,0,2,0,4,0,0,0,0
213,0,191,0,46,0,116,0,40,0,1,0,6,0,0,0,0
214,0,190,0,47,0,115,0,41,0,3,0,4,0,0,0,0
215,0,193,0,50,0,116,0,34,0,2,0,5,0,0,0,0
216,0,181,0,41,0,124,0,47,0,4,0,3,0,0,0,0
217,0,190,0,46,0,118,0,38,0,3,0,5,0,0,0,0
218,0,183,0,45,0,125,0,41,0,2,0,4,0,0,0,0
219,0,183,0,50,0,127,0,36,0,2,0,2,0,0,0,0
220,0,184,0,43,0,121,0,44,0,6,0,2,0,0,0,0
